pair,team,relationship,threshold,signal_time_utc,match_jump,match_probability,entry_time_utc,entry_quote_wait_s,entry_ask,horizon_s,exit_time_utc,exit_bid,pnl_per_share,pnl_5_shares,return_on_cost
Gen.G vs G2 -> Gen.G LCK playoffs,Gen.G,cross-tournament strength signal,0.03,2026-03-21 14:24:57.062000036+00:00,0.04399996995925903,0.7329999804496765,2026-03-21 14:25:04.615999937+00:00,4.553999900817871,0.5600000023841858,10,2026-03-21 14:25:18.049000025+00:00,0.5400000214576721,-0.019999980926513672,-0.09999990463256836,-0.03571425150243618
Gen.G vs G2 -> Gen.G LCK playoffs,Gen.G,cross-tournament strength signal,0.03,2026-03-21 14:24:57.062000036+00:00,0.04399996995925903,0.7329999804496765,2026-03-21 14:25:04.615999937+00:00,4.553999900817871,0.5600000023841858,30,2026-03-21 14:25:35.835000038+00:00,0.5400000214576721,-0.019999980926513672,-0.09999990463256836,-0.03571425150243618
Gen.G vs G2 -> Gen.G LCK playoffs,Gen.G,cross-tournament strength signal,0.03,2026-03-21 14:27:35.049999952+00:00,0.03049999475479126,0.5649999976158142,2026-03-21 14:27:48.016000032+00:00,9.966000080108643,0.5600000023841858,30,2026-03-21 14:28:21.055000067+00:00,0.5400000214576721,-0.019999980926513672,-0.09999990463256836,-0.03571425150243618
Gen.G vs G2 -> Gen.G LCK playoffs,Gen.G,cross-tournament strength signal,0.03,2026-03-21 14:27:35.049999952+00:00,0.03049999475479126,0.5649999976158142,2026-03-21 14:27:48.016000032+00:00,9.966000080108643,0.5600000023841858,60,2026-03-21 14:28:49.016999960+00:00,0.5400000214576721,-0.019999980926513672,-0.09999990463256836,-0.03571425150243618
Gen.G vs G2 -> Gen.G LCK playoffs,Gen.G,cross-tournament strength signal,0.03,2026-03-21 14:27:35.049999952+00:00,0.03049999475479126,0.5649999976158142,2026-03-21 14:27:48.016000032+00:00,9.966000080108643,0.5600000023841858,300,2026-03-21 14:32:53.091000080+00:00,0.5400000214576721,-0.019999980926513672,-0.09999990463256836,-0.03571425150243618
Gen.G vs G2 -> Gen.G LCK playoffs,Gen.G,cross-tournament strength signal,0.03,2026-03-21 14:29:15.502000093+00:00,0.0354999303817749,0.4854999780654907,2026-03-21 14:29:22.043999910+00:00,3.5419998168945312,0.5600000023841858,60,2026-03-21 14:30:23.634999990+00:00,0.5400000214576721,-0.019999980926513672,-0.09999990463256836,-0.03571425150243618
Gen.G vs G2 -> Gen.G LCK playoffs,Gen.G,cross-tournament strength signal,0.03,2026-03-21 14:29:15.502000093+00:00,0.0354999303817749,0.4854999780654907,2026-03-21 14:29:22.043999910+00:00,3.5419998168945312,0.5600000023841858,300,2026-03-21 14:34:25.635999918+00:00,0.5400000214576721,-0.019999980926513672,-0.09999990463256836,-0.03571425150243618
Gen.G vs G2 -> Gen.G LCK playoffs,Gen.G,cross-tournament strength signal,0.03,2026-03-21 14:32:16.052000046+00:00,0.03049999475479126,0.45499998331069946,2026-03-21 14:32:25.114000082+00:00,6.062000036239624,0.5600000023841858,60,2026-03-21 14:33:26.572999954+00:00,0.5400000214576721,-0.019999980926513672,-0.09999990463256836,-0.03571425150243618
Gen.G vs G2 -> Gen.G LCK playoffs,Gen.G,cross-tournament strength signal,0.05,2026-03-21 14:27:36.023999929+00:00,0.05050003528594971,0.5850000381469727,2026-03-21 14:27:48.016000032+00:00,8.992000102996826,0.5600000023841858,30,2026-03-21 14:28:21.055000067+00:00,0.5400000214576721,-0.019999980926513672,-0.09999990463256836,-0.03571425150243618
Gen.G vs G2 -> Gen.G LCK playoffs,Gen.G,cross-tournament strength signal,0.05,2026-03-21 14:27:36.023999929+00:00,0.05050003528594971,0.5850000381469727,2026-03-21 14:27:48.016000032+00:00,8.992000102996826,0.5600000023841858,60,2026-03-21 14:28:49.016999960+00:00,0.5400000214576721,-0.019999980926513672,-0.09999990463256836,-0.03571425150243618
Gen.G vs G2 -> Gen.G LCK playoffs,Gen.G,cross-tournament strength signal,0.05,2026-03-21 14:27:36.023999929+00:00,0.05050003528594971,0.5850000381469727,2026-03-21 14:27:48.016000032+00:00,8.992000102996826,0.5600000023841858,300,2026-03-21 14:32:53.091000080+00:00,0.5400000214576721,-0.019999980926513672,-0.09999990463256836,-0.03571425150243618
Gen.G vs G2 -> Gen.G LCK playoffs,Gen.G,cross-tournament strength signal,0.05,2026-03-21 14:35:45.026000023+00:00,0.05349999666213989,0.46549999713897705,2026-03-21 14:35:56.026999950+00:00,8.000999927520752,0.5600000023841858,30,2026-03-21 14:36:29.069999933+00:00,0.5400000214576721,-0.019999980926513672,-0.09999990463256836,-0.03571425150243618
Gen.G vs G2 -> Gen.G LCK playoffs,Gen.G,cross-tournament strength signal,0.05,2026-03-21 15:12:10.039000034+00:00,0.05199998617172241,0.3100000023841858,2026-03-21 15:12:14.559000015+00:00,1.5199999809265137,0.5400000214576721,60,2026-03-21 15:13:19.528000115+00:00,0.5199999809265137,-0.020000040531158447,-0.10000020265579224,-0.03703711062301532
Gen.G vs G2 -> Gen.G LCK playoffs,Gen.G,cross-tournament strength signal,0.05,2026-03-21 15:17:18.022000074+00:00,0.05150008201599121,0.10150003433227539,2026-03-21 15:17:29.645999908+00:00,8.623999834060669,0.5400000214576721,30,2026-03-21 15:18:04.148999929+00:00,0.5099999904632568,-0.030000030994415283,-0.15000015497207642,-0.055555610745039265
