,0
K,30
alpha,0.01
return_scale,diff
in_game_only,True
min_nonzero_pairs,7
threshold,6.780871365058357
C_n,5.587419601534258
S_n,0.2594376192357517
total_minute_bars,181970
bars_with_price,165282
valid_returns,161952
tested_observations,116861
warmup_or_untestable,65109
assets_total,1696
assets_tested,1212
total_jumps,2239
positive_jumps,1119
negative_jumps,1120
pct_of_tested_minutes,1.9159514294760442
frac_zero_minute_returns,0.31274081209247184
frac_zero_returns_among_tested,0.22971735651757216
frac_jumps_in_last_10min_of_series,0.15542652970075926
frac_jumps_at_mid_below_0.05,0.04332291201429209
frac_jumps_at_mid_above_0.95,0.041536400178651185
frac_jumps_on_carried_bar,0.0
median_abs_return_all_tested,0.010000000000000009
sigma_regime_lag_median,1.4218721860070043
sigma_regime_lag_p25,1.303948593505298
sigma_regime_lag_p75,1.6693588949305895
distinct_days,4
avg_jumps_per_day,559.75
median_abs_return,0.21499999999999986
mean_abs_return,0.22463934792318
max_positive_return,0.764
max_negative_return,-0.764
