,0
K,600.0
alpha,0.01
min_nonzero_pairs,30.0
threshold,6.574062536394475
C_n,5.329340747737871
S_n,0.27058291531312056
total_minute_bars,648819.0
bars_with_price,506413.0
valid_returns,487958.0
tested_observations,45582.0
warmup_or_untestable,603237.0
assets_total,1766.0
assets_tested,580.0
total_jumps,4373.0
positive_jumps,1942.0
negative_jumps,2431.0
pct_of_tested_minutes,9.593699267254618
frac_zero_minute_returns,0.7247590981191004
frac_zero_returns_among_tested,0.24843139835900135
frac_jumps_in_last_10min_of_series,0.19871941458952663
frac_jumps_at_mid_below_0.05,0.14703864623828036
frac_jumps_at_mid_above_0.95,0.01372055796935742
frac_jumps_on_carried_bar,0.0
median_abs_return_all_tested,0.025317807984289953
distinct_days,4.0
avg_jumps_per_day,1093.25
median_abs_return,0.43428554664365643
mean_abs_return,0.608143547801153
max_positive_return,3.891820298110626
max_negative_return,-6.309918278226516
